Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Please select your Field Consultant ID. ,Are you observing a Teaching Fellow or a Partner Teacher?,Which cohort is this Fellow a member of?,Which cohort is this Partner Teacher a member of?,Please select the Cohort 27 Fellow ID that corresponds to the Fellow you observed.,Please select the Cohort 5 Partner Teacher ID that corresponds to the Fellow you observed.,Please enter the school DBN as a letter and 3-digit number (e.g. X232 or K021),K:Please enter the grade level(s) of the observed lesson. Select all that apply. ,1:Please enter the grade level(s) of the observed lesson. Select all that apply. ,2:Please enter the grade level(s) of the observed lesson. Select all that apply. ,3:Please enter the grade level(s) of the observed lesson. Select all that apply. ,4:Please enter the grade level(s) of the observed lesson. Select all that apply. ,5:Please enter the grade level(s) of the observed lesson. Select all that apply. ,6:Please enter the grade level(s) of the observed lesson. Select all that apply. ,7:Please enter the grade level(s) of the observed lesson. Select all that apply. ,8:Please enter the grade level(s) of the observed lesson. Select all that apply. ,9:Please enter the grade level(s) of the observed lesson. Select all that apply. ,10:Please enter the grade level(s) of the observed lesson. Select all that apply. ,11:Please enter the grade level(s) of the observed lesson. Select all that apply. ,12:Please enter the grade level(s) of the observed lesson. Select all that apply. ,"CTT/ICT:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","Self-contained:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","SETTS:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","D75:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","N/A:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","What is the Fellow’s assigned university subject area? (Please select the subject they are training in at their university, NOT the subject they are teaching during this observation.)",What was the date of this observation?,1a: :Please record your observation rating for component 1a: Demonstrating Knowledge of Content and Pedagogy.,1c::Please record your observation rating for component 1c: Setting Instructional Outcomes.,1e::Please record your observation rating for component 1e: Designing Coherent Instruction.,Comments for Domain 1,2b: :Please record your observation rating for component 2b: Establishing a Culture for Learning.,2c::Please record your observation rating for component 2c: Managing Classroom Procedures.,2d::Please record your observation rating for component 2d: Managing Student Behavior.,Comments for Domain 2,3b::Please record your observation rating for component 3b: Using Questioning and Discussion Techniques.,3c::Please record your observation rating for component 3c: Engaging Students in Learning.,3d::Please record your observation rating for component 3d: Using Assessment in Instruction.,Comments for Domain 3,4a::Please record your observation rating for component 4a: Reflecting on Teaching.,Comments for Domain 4,How effective do you believe this Fellow is compared to other teachers with similar experience (eg- first year Fellows compared to other first year teachers)?,URL Redirect
64,3/3/2017 17:18,3/3/2017 17:32,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488579520_58b9ebc003e6b1.78496012,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MALNJS; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MALNJS; rv:11.0) like Gecko,,100.12.198.46,-73.87830353,40.73540115,United States,Elmhurst,NY,11373,1716,Teaching Fellow,Cohort 27,,50384,,K383,,,,,,,6,,,,,,,,Self-contained,,,,Special Education,02/02/0017,Developing,Developing,Developing,"The teacher displays enthusiasm and commitment to assuring that the lesson included a range of pedagogical approaches, which were appropriate for each student.  She was aware of their individual needs as outlined on their IEP's.  Lessons were well structured and provided for differentation.",Developing+,Developing+,Developing+,The teacher's strength lies in her ability to provide for a focused yet challenging learning environment.  Each studnet understands that they are expected to complete their work.  Studnet behavior is generally appropriate and those who are in need of additional support are still encouraged to particpate.,Developing,Developing,Developing,The teacher is developing the abilityto use assessment throughout the lesson.  We discussed that the pacing needs to be improved in order for optimal use of time during the lesson.,Developing,This teacher is open to developing a spirit of refelction on her own progress.  She embraces the recommendations and is able to make some general suggestions concerning ways in which the lesson can be improved.,Average,
65,3/4/2017 17:10,3/4/2017 17:14,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488665341_58bb3afd1be434.65692755,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,69.125.170.117,-73.63950348,40.66590118,United States,Rockville Centre,NY,11570,1712,Teaching Fellow,Cohort 27,,50785,,K620,,,,,,,,,,9,,,,CTT/ICT,,,,,Special Education,2/7/2017,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Effective,,Above Average,
66,3/4/2017 17:15,3/4/2017 17:18,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488665700_58bb3c642a8f97.71990211,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,69.125.170.117,-73.63950348,40.66590118,United States,Rockville Centre,NY,11570,1712,Teaching Fellow,Cohort 27,,50845,,K620,,,,,,,,,,,,,12,,Self-contained,,,,Special Education,2/7/2017,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing+,,Average,
67,3/4/2017 17:18,3/4/2017 17:20,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488665887_58bb3d1f25de24.78395412,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,69.125.170.117,-73.63950348,40.66590118,United States,Rockville Centre,NY,11570,1712,Teaching Fellow,Cohort 27,,50071,,K540,,,,,,,,,,9,,,,,,,,,Math,2/14/2017,Effective,Effective,Effective,,Effective,Effective,Effective,,Developing+,Effective,Effective,,Effective,,Top 10%,
68,3/4/2017 17:20,3/4/2017 17:22,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488666039_58bb3db74344d2.10994960,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36",,69.125.170.117,-73.63950348,40.66590118,United States,Rockville Centre,NY,11570,1712,Teaching Fellow,Cohort 27,,50779,,K620,,,,,,,,,,9,,,,CTT/ICT,,,,,English,2/14/2017,Effective,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Effective,,Above Average,
69,3/5/2017 10:26,3/5/2017 10:32,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488727544_58bc2df8b62555.38701628,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,74.68.130.64,-73.91259766,40.72320175,United States,Maspeth,NY,11378,1820,Teaching Fellow,Cohort 27,,50035,,Q226,,,,,,,,,8,,,,,,,,,,Math,2/17/2017,Developing,Developing,Developing,lacking strong content knowledge,Effective,Effective,Effective,Teacher has made great improvement in this area.,Developing+,Developing+,Developing+,Questions are varied and directed at topic,Effective,Teacher is constantly looking for ways to improve the lesson. Teacher is determined.,Average,
70,3/5/2017 10:32,3/5/2017 10:39,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488727977_58bc2fa90e73a4.40658523,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,74.68.130.64,-73.91259766,40.72320175,United States,Maspeth,NY,11378,1820,Teaching Fellow,Cohort 27,,50685,,Q226,,,,,,,,,8,,,,,,,,,,Math,2/17/2017,Ineffective,Developing,Ineffective,Teacher has very limited planning skills. Lessons are choppy and not cohesive.,Developing,Developing,Developing,"Teacher has made some improvement with management, but still can do more",Developing,Developing,Developing,Limited opportunities for assessment.,Ineffective,Have not seen my suggestions put into practice,Average,
71,3/5/2017 10:39,3/5/2017 10:49,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488728361_58bc3129d596c0.82658857,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,74.68.130.64,-73.91259766,40.72320175,United States,Maspeth,NY,11378,1820,Teaching Fellow,Cohort 27,,50916,,Q240,,,,,,,,,,,,11,,,,,,,Math,2/16/2017,Developing+,Developing+,Developing+,Lesson was content correct and sequentially developed and differentiated.,Developing+,Developing+,Developing+,Students were well aware of what was expected of them,Developing+,Developing+,Developing+,Lesson had group work and prevention session.,Effective,Teacher has made efforts to take suggestions proposed,Average,
72,3/5/2017 10:49,3/5/2017 10:55,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488728985_58bc339951f392.40759308,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,74.68.130.64,-73.91259766,40.72320175,United States,Maspeth,NY,11378,1820,Teaching Fellow,Cohort 27,,51069,,Q240,,,,,,,,,,9,,,,,,,,,Math,2/16/2017,Effective,Effective,Effective,Lessons are direct and allow for adequate practice,Developing+,Effective,Effective,There are routines in place and students conform to rules of proper classroom behavior,Effective,Effective,Effective,Teacher assesses  and questions during the entire lesson.,Effective,Teacher plans with another teacher to effectively provide additional support,Above Average,
73,3/5/2017 10:55,3/5/2017 11:08,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488729315_58bc34e3ab53b0.07153513,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,74.68.130.64,-73.91259766,40.72320175,United States,Maspeth,NY,11378,1820,Teaching Fellow,Cohort 27,,51053,,Q238,,,,,,,,7,,,,,,,,,,,Math,2/1/2017,Developing+,Developing+,Developing+,Teacher has a good understanding of pedagogy. Needs some improvement in sequencing,Effective,Effective,Effective,Students are well behaved and follow procedures with a  minimum of reminders,Effective,Effective,Effective,There are effective questions and student engagement,Effective,Teacher has made efforts  to take suggestions proposed,Above Average,
74,3/5/2017 11:08,3/5/2017 11:22,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488730129_58bc3811af04c8.12567678,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,74.68.130.64,-73.91259766,40.72320175,United States,Maspeth,NY,11378,1820,Teaching Fellow,Cohort 27,,50392,,Q355,,,,,,,,7,,,,,,,,,,,Math,2/6/2017,Ineffective,Developing,Ineffective,Lessons are not focused and examples to not reflect objective.,Developing,Ineffective,Ineffective,Too much instruction time is lost due to lack of procedures and discipline,Developing,Developing,Developing,There are student portfolios but daily assessment is lacking.,Ineffective,Teacher does nit understand what she needs to do to be successful.,Below Average,
75,3/6/2017 4:01,3/6/2017 4:13,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488790807_58bd25175476f8.51133018,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,100.33.252.56,-73.68240356,40.7492981,United States,New Hyde Park,NY,11040,1842,Teaching Fellow,Cohort 27,,50167,,13k605,,,,,,,,,,,10,,,CTT/ICT,,,,,Special Education,2/3/2016,Effective,Effective+,Effective,,Developing+,Developing+,Effective,,Effective,Effective,Developing+,,Effective,,Average,
76,3/6/2017 4:13,3/6/2017 4:18,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488791602_58bd28322fe414.26411266,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,100.33.252.56,-73.68240356,40.7492981,United States,New Hyde Park,NY,11040,1842,Partner Teacher,,Cohort 5,,TCR177,19k422,,,,,,,,,,9,,,,CTT/ICT,,,,,Social Studies,2/2/2016,Effective,Effective,Developing+,,Effective,Developing+,Developing+,,Developing+,Effective,Developing+,,Effective,,Average,
77,3/6/2017 4:18,3/6/2017 4:24,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488791908_58bd2964eb5903.95683420,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,100.33.252.56,-73.68240356,40.7492981,United States,New Hyde Park,NY,11040,1842,Partner Teacher,,Cohort 5,,TCR214,19k422,,,,,,,,,,9,,,,CTT/ICT,,,,,Special Education,2/2/2016,Developing+,Effective,Effective,,Effective,Developing+,Developing+,,Effective,Developing+,Developing+,,Effective+,,Average,
78,3/6/2017 4:25,3/6/2017 4:29,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488792310_58bd2af6db84c2.87442805,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,100.33.252.56,-73.68240356,40.7492981,United States,New Hyde Park,NY,11040,1842,Partner Teacher,,Cohort 5,,TCR197,19k197,,,,,,,,,,,10,,,CTT/ICT,,,,,Social Studies,2/2/2016,Developing+,Developing+,Effective,,Effective,Developing+,Developing+,,Effective,Developing+,Developing+,,Effective,,Average,
79,3/6/2017 12:28,3/6/2017 12:46,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488821266_58bd9c12e473a3.31444435,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,98.14.198.141,-73.77249908,40.76369858,United States,Bayside,NY,11361,1839,Teaching Fellow,Cohort 27,,50451,,K505,,,,,,,,,,9,,,,,Self-contained,,,,Math,2/8/2017,Effective,Effective,Effective,Most of the students are repeating this class and the teacher has designed a series of leanring experiences aligned to instructional outcomes that are sutibable for developmwntal review with practice and rill to challenge and engage students.,Effective,Effective,Effective,Student behaqvior was appropriate. The high school freshmenr have realized that passing this course is important. Routines and procedures are in place and estblished standards are in place. Teacher is sensitive to individual needs and is respectful and consistent.,Effective,Effective,Effective,Assessment was used dueint the lesson with theDo Now as well as a review of the practice activity and a hmomework assignment to complet e a math puzzle toi check comprehension.,Effective,Teacher made an acurate reflection and assessment of the lesson's effectiveness and achievement of instructuional outcomes and offered a suggestion for imrpovement in a subsequent lesson with this class.,Average,
82,3/6/2017 18:56,3/6/2017 19:02,Complete,,,,English,https://mail.aol.com/webmail-std/en-us/suite,https://mail.aol.com/webmail-std/en-us/suite,1488844560_58bdf7101d5538.44432141,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12",,108.6.35.48,-73.64459991,40.59000015,United States,Long Beach,NY,11561,1146,Teaching Fellow,Cohort 27,,50146,,x508,,,,,,,,,,9,10,11,,CTT/ICT,,,,,Special Education,2/2/2017,Effective,Effective,Effective,,Effective,Effective,Effective+,,Effective,Effective,Effective,,Developing+,,Above Average,
83,3/6/2017 19:02,3/6/2017 19:07,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488844955_58bdf89baa4462.65628484,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12",,108.6.35.48,-73.64459991,40.59000015,United States,Long Beach,NY,11561,1146,Teaching Fellow,Cohort 27,,50709,,x525,,,,,,,,,,9,,,,,,,,,Math,2/14/2017,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,,Above Average,
84,3/6/2017 19:07,3/6/2017 19:20,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488845224_58bdf9a826bfc4.42236520,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12",,108.6.35.48,-73.64459991,40.59000015,United States,Long Beach,NY,11561,1146,Teaching Fellow,Cohort 27,,51092,,x527,,,,,,,,,,,10,,,CTT/ICT,,,,,Special Education,2/2/2017,Developing+,Developing+,Effective,,Effective,Developing+,Developing+,,Developing+,Developing+,Effective,,Developing+,,Average,
85,3/6/2017 19:20,3/6/2017 19:21,Partial,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488846042_58bdfcda254c99.53933763,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12",,108.6.35.48,-73.64459991,40.59000015,United States,Long Beach,NY,11561,1146,Partner Teacher,,Cohort 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,3/6/2017 20:21,3/6/2017 20:29,Partial,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488849702_58be0b26127ae0.41538014,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,98.14.198.141,-73.77249908,40.76369858,United States,Bayside,NY,11361,1839,Partner Teacher,,Cohort 5,,TCR222,k220,,,,,,,,,8,,,,,,Self-contained,,,,Spanish,2/8/2017,Effective,Effective,Effective,A series of learning experiences aligned to instructional outcomes provided several learning activities that enabled students to understand the concept. Using Tiurn and talk as well as a group game encouraged students to be imaginative and have fun eith selective breeding and genen traits.,Effective,Effective,Effective,Class 821 is a frisky and talkative group and you responded to occasi,,,,,,,,
87,3/6/2017 20:30,3/6/2017 20:39,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488850202_58be0d1a2f6595.69992278,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,98.14.198.141,-73.77249908,40.76369858,United States,Bayside,NY,11361,1839,Partner Teacher,,Cohort 5,,TCR222,k220,,,,,,,,,8,,,,,,Self-contained,,,,Science,2/8/2017,Effective,Effective,Effective,A series of learning experiences aligned to instructional outcomes provided several learning activities that enabled students to understand the concept. Using Tiurn and talk as well as a group game encouraged students to be imaginative and have fun eith selective breeding and genen traits.,Effective,Effective,Effective,Class 821 is a frisky and talkative group and the teacher responded to occasional misbehavior consistently and respectfully as she reminded several youngstersnabout established standards of conduct.,Effective,Effective,Effective+,"A genuine discussion among students was created with questions that promoted student thinking. Most students were engaged and eager to share opinions, A warm rapport and good sense of humor created sa friendly and supportive classroom astmosphere.",Effective,Teacher made an acurate assessment of the lesson's effectiveness and offered two different strategies that could improve instruction in subsequent lesssons.,Average,
88,3/6/2017 20:40,3/6/2017 20:58,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488850855_58be0fa716cd14.33296396,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,98.14.198.141,-73.77249908,40.76369858,United States,Bayside,NY,11361,1839,Partner Teacher,,Cohort 5,,TCR184,k839,,,,,,,6,,,,,,,CTT/ICT,,,,,Special Education,3/3/2017,Developing+,Developing+,Developing+,Teacher led a writing lesson and introduced  a learning target designed to have students develop convincing explanations that support claims in a model paragraph using a rubric. Lesson provided ivaluable bu t incomplete techniques for evaluating a model essay response and apply that practice to a previously submitted essay.,Developing,Developing,Developing,Students were talkative and noisy and required several individual and group remoinders to stop talking and listen to each oleading to valuable time being lost for discipline resets.,Developing+,Developing+,Developing+,Assessment qas used effectively. Studwents receive a model rubric as well as a rubric specific to the previously written essay that was graded for the purpose of rewritn the essay to improve their grade.,Developing+,Teacher made an accurate assessment of the lesson and realized that student discipline must be improved and offered several behavioral modification strategies for improvement in subsequent lessons including contacting parents if necessary.,Average,
89,3/6/2017 20:56,3/6/2017 21:13,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488851760_58be13304500d8.70065681,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,184.153.55.185,-73.96089935,40.76940155,United States,New York,NY,10021,1722,Teaching Fellow,Cohort 27,,50431,,m114,,,,,,,,,8,,,,,CTT/ICT,,,,,English,2/8/2017,Effective,Effective,Effective,Danielle has developed efffective methods of plannning and instructional delivery that includes standards based instruction,Effective+,Effective,Effective,Students are on task and follow instructional expectations accordingly,Effective,Effective,Developing+,The teacher is continuing to develop effective record keeping leading to assessment based instruction,Effective,The teacher is involved in professional development and attempts to incorporate new thinking in her teaching,Above Average,
90,3/6/2017 21:14,3/6/2017 21:25,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488852893_58be179d5baed2.65585505,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,184.153.55.185,-73.96089935,40.76940155,United States,New York,NY,10021,1722,Teaching Fellow,Cohort 27,,50181,,m860,,,,,,,,,,9,,,,,,,,N/A,Math,2/8/2017,Developing+,Developing+,Developing+,"Lessons are standards based, however they are not always developmentally appropriate in the sequencing of skills",Developing+,Developing+,Developing+,The teacher continues to build effective management skills to support student learning.,Developing+,Developing+,Developing+,"Questioning often relies on the implementation of operations.  HIgher order questioning is still a challenge for the teacher, however she attempts to include critical thinking, but not consistently",Effective+,The teacher is actively involved in her own personal professional development and works on finding sources to support more effective teaching skills,Average,
91,3/6/2017 22:07,3/6/2017 22:18,Complete,,,,English,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,https://www.surveygizmo.com/s3/3337803/FDI-2016-17-SJU-R3,1488856053_58be23f504be02.51167178,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,184.153.55.185,-73.96089935,40.76940155,United States,New York,NY,10021,1722,Teaching Fellow,Cohort 27,,50543,,m299,,,,,,,,,,9,,,,CTT/ICT,,,,,Math,2/7/2017,Developing+,Developing+,Developing+,Jessica designs plans that are aligned with the standards and are developmentally  appropriate,Developing+,Developing+,Developing+,Students are engaged and work productivley during lessons,Developing+,Developing+,Developing+,"The teacher incorporates assessments in to the curriculum, however she still needs support in the application of assessment based learning reflected in the lessons and plans",Effective,The teacher is very movtivated in the application of research based planning.  She initiates the use of her new found techniques into her teaching,Average,
