response_id,date_submitted,status,please_select_your_field_consultant_id,which_cohort_is_this_fellow_a_member_of,fellow_id,please_enter_the_school_dbn_as_a_letter_and_3_digit_number_e_g_x232_or_k021,k_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x1_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x2_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x3_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x4_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x5_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x6_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x7_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x8_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x9_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x10_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x11_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,x12_please_enter_the_grade_level_s_of_the_observed_lesson_select_all_that_apply,ctt_ict_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,self_contained_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,setts_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,d75_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,n_a_if_applicable_please_identify_the_special_education_setting_of_the_observed_lesson_select_all_applicable_settings,what_is_the_fellow_s_assigned_university_subject_area_please_select_the_subject_they_are_training_in_at_their_university_not_the_subject_they_are_teaching_during_this_observation,what_was_the_date_of_this_observation,x1a_please_record_your_observation_rating_for_component_1a_demonstrating_knowledge_of_content_and_pedagogy,x1c_please_record_your_observation_rating_for_component_1c_setting_instructional_outcomes,x1e_please_record_your_observation_rating_for_component_1e_designing_coherent_instruction,comments_for_domain_1,x2b_please_record_your_observation_rating_for_component_2b_establishing_a_culture_for_learning,x2c_please_record_your_observation_rating_for_component_2c_managing_classroom_procedures,x2d_please_record_your_observation_rating_for_component_2d_managing_student_behavior,comments_for_domain_2,x3b_please_record_your_observation_rating_for_component_3b_using_questioning_and_discussion_techniques,x3c_please_record_your_observation_rating_for_component_3c_engaging_students_in_learning,x3d_please_record_your_observation_rating_for_component_3d_using_assessment_in_instruction,comments_for_domain_3,x4a_please_record_your_observation_rating_for_component_4a_reflecting_on_teaching,comments_for_domain_4,how_effective_do_you_believe_this_fellow_is_compared_to_other_teachers_with_similar_experience_eg_first_year_fellows_compared_to_other_first_year_teachers,university,school_code,tt2id
117,3/10/2017 12:28,Complete,1726,Cohort 28,51207,M079,NA,NA,NA,NA,NA,NA,NA,7,8,9,10,11,12,NA,NA,NA,D75,NA,Special Education,2/14/2017,Developing+,Developing+,Effective,Wilkens uses technology effectively,Developing+,Effective,Effective,Wilkens manages behaviors while teaching different populations.,Developing+,Effective,Effective,Wilkens requires homework for his subject area lessons.,Effective,Wilkens is reflective. He uses assessments improve his teaching.,Average,Pace,97M079,4c0b3bb3-9378-4cf3-8069-a51501482927
118,3/10/2017 12:43,Complete,1726,Cohort 28,51201,M079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,NA,NA,NA,NA,D75,NA,Special Education,2/14/2017,Developing,Developing+,Developing+,Daniel did planning and preparation for the lesson. Materials were appropriate for various needs.,Developing+,Developing+,Developing+,Daniel preparesmulti sensory lessons.,Developing+,Developing+,Developing+,"Daniel analyzes his teaching. He uses assessment, such as work product and observation to revise lessons.",Effective,"Daniel is thoughtful. He reflects on lessons, behavior management, and student needs when preparing to teach.",Average,Pace,97M079,63a55da7-9b4a-4714-afa4-a5df011d1a3b
131,3/11/2017 17:37,Complete,935,Cohort 28,51206,K768@K293,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,NA,Self-contained,NA,NA,NA,Special Education,1/31/2017,Effective,Effective,Effective,The Fellow has knowledge of important concepts in the discipline.  He sets reasonable outcomes with some of the students.  Activities are designed to engage the students,Effective,Effective,Effective,behaviors are monitored.  Recently he has taken a TCIS workshop which has given him additional tools to work with the students.,Developing+,Effective,Effective,The Fellow has taken FAST/ using assessment in instruction.  Students are intellectually disabled.  The lesson gave students an appropriate amount of time to be intellectually engaged,Effective,The Fellow makes an accurate assessment of his instructional skill.  He is adjusting to sharing the classroom with the paraprofessionals.,Average,Pace,97K368,d8bcb480-940f-44db-b76c-a5f00095db65
136,3/11/2017 18:32,Complete,935,Cohort 28,51225,K768@K293,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,NA,Self-contained,NA,NA,NA,Special Education,1/31/2017,Effective,Effective,Effective,The Fellow has knowledge of important concepts in the discipline/ Arts program.  Effective pedagogical approaches has produced success in the program.  Learning experiences are aligned to the instructional outcomes,Effective+,Effective+,Effective+,The classroom environment is a cognitively active place where learning is valued by all.  The Fellow encourages interactions within the class to support communication and learning.,Effective,Effective+,Effective,Questions were posed to promote student thinking and understanding.  Discussions with students encouraged greater communication between students.  Students were engaged in all activities.  The performance served as the final assessment.  Informal assessments occured during rehearsals.,Effective,The Fellow makes an accurate assessment of his instructional skill.  She conducted a school-wide performance.  .,Average,Pace,97K368,a7659f13-89c4-4622-9e9d-a5fb0101a3df
146,3/12/2017 19:09,Complete,935,Cohort 28,51221,X75@X168,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,10,11,12,NA,Self-contained,NA,NA,NA,Special Education,2/7/2017,Developing,Developing,Developing,Fellow has recently joined this school.  Curriculum is new to the Fellow.  She has attempted to target important concepts in the curriculum.  The Fellow has high expectations for the students,Effective,Effective,Effective,This class has been taught by the paraprofessionals since September.  They now share this responsibility with the Fellow.  Routines and procedures are followed by the students.  Student behaviors are generally appropriate.  Students know their behaviors are monitored.,Developing+,Effective,Developing+,Greater use of open-ended questions are need to promote students' understandings.  Some students are engaged in the lesson.  The tasks and activities are aligned with the instructional outcomes.  Accurate feedback is given to the students.,Effective,General suggestions were made as to how to improve the lesson,Average,Pace,97X188,378408f5-cd10-4997-8ba9-a59900f14b7d
188,3/15/2017 17:24,Complete,935,Cohort 28,51220,X168,NA,NA,NA,NA,NA,NA,6,7,8,NA,NA,NA,NA,NA,NA,NA,D75,NA,Special Education - D75,2/15/2017,Effective,Effective,Developing+,Outcomes became more familiar with charateristics of a mammal.  This outcome was clear and measured.  The instruction was planned on levels of some of the students.  Lesson needed adequate pacing.,Effective,Effective,Effective,The Fellow sets the culture for learning in the instructional approach she brings to the classes (cluster).  Procedures and routines are managed without paraprofessionals committment  The Fellow monitors behavior as she develops management techniques aligned with the group she is instructed,Developing+,Developing+,Developing+,Questions lead the students through a single path of inquiry as they were unresponsive when open-ended questions were presented.  The learning outcomes are aligned to the learning tasks.  The tasks were the same for all students.  Targeted learning should be considered in planning,Effective,Briefing after the lesson revealed the extensive instructional responsibilities in her program.  I asked that she understand a profile for each class (teach to level and learning style),Average,Pace,97X168,701d1be0-4aff-4821-b0ac-a61000dc5c5d
190,3/15/2017 18:10,Complete,935,Cohort 28,51224,K16@K168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,CTT/ICT,NA,NA,NA,NA,Special Education,3/15/2017,Developing,Developing,Developing,The Fellow in assignment two weeks,Developing,Developing,Developing,The Fellow in this assignment two weeks,Developing,Developing,Developing,The Fellow in this assignment two weeks,Developing,We will work together to ensure an effective instructional program,Average,Pace,16K688,d171727d-6df8-4e48-826f-a5b600dd0188
199,3/16/2017 18:28,Complete,1809,Cohort 28,51205,M401,NA,NA,NA,NA,NA,NA,6,7,8,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education - D75,3/2/2017,Developing,Developing,Developing,The TF has only been working for a few weeks and is making good progress. Her lesson was appropriate considering she has three grade levels and her students are only with her for a short time.,Developing+,Developing+,Developing+,"The TF has an excellent rapport with students,  who are hospitalized  because of serious emotional or psychological issues.",Developing,Developing,Developing,We discussed the need for more probing questions.,Developing,The TF has a sense of how effective the lesson was and is open to specific suggestions.,Average,Pace,97M401,57a2517a-dfa5-46f0-90e3-a5e900c84086
200,3/16/2017 18:20,Complete,958,Cohort 28,51199,97Q233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,NA,NA,NA,NA,D75,NA,Special Education - D75,2/9/2017,Developing+,Developing+,Developing+,NA,Effective,Effective,Effective,NA,Developing+,Effective,Developing,NA,Developing+,NA,Average,Pace,97Q233,3c834288-ef27-4064-b118-a5f500d8fed8
201,3/16/2017 18:24,Complete,958,Cohort 28,51210,K373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,D75,NA,Special Education - D75,02/02/0017,Developing+,Developing+,Developing,NA,Developing+,Developing+,Developing+,NA,Developing,Developing+,Developing,NA,Developing+,NA,Average,Pace,97K373,1c794496-f6fc-4207-a34f-a0d900fb2a7f
202,3/16/2017 18:27,Complete,958,Cohort 28,51226,K373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,D75,NA,Special Education - D75,2/9/2017,Developing,Developing+,Effective,NA,Developing+,Developing+,Developing+,NA,Developing+,Developing+,Developing+,NA,Developing+,NA,Average,Pace,97K373,ab47c7a1-7b28-42d2-af9f-a5fb01069469
203,3/16/2017 18:38,Complete,1809,Cohort 28,51218,X188,NA,NA,NA,NA,NA,NA,6,7,8,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education,2/27/2017,Developing,Developing,Developing,The TF is struggling to find the correct instruction for middle school students who are functioning many grade levels below their age but he is getting support from his administration.,Developing,Developing+,Developing+,"The TF has good management structures and routines,",Developing,Developing,Developing,Student engagement and interaction is uneven.,Developing,The TF has a sense of how effective the lesson was and is open to specific suggestions.,Average,Pace,97X188,6851f97e-7c32-4ae3-8c85-a60000369077
6,2/14/2017 12:53,Complete,1782,Cohort 28,51244,K327,K,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,2/10/2017,Effective,Effective,Effective,"Nyemah really scaffolded and differentiated her instruction so students were not just learning content, they were embodying their learning by role playing of what they were reading.",Effective,Effective,Effective,Nyemah will continue to identify transitions in her lessons to incorporate procedures and structure as well as look at her lessons through an SEL differentiated lense as much as an academic lense.,Developing+,Developing+,Effective,Nyemah tries to meet each child where he/she is at however she will work on scaffolding her questions if her students are not meeting the objective.,Highly Effective,Nyemah is highly reflective in her practice.,Average,City,23K327,ef852284-0194-488b-99da-a60e01888c45
12,2/21/2017 8:37,Complete,2062,Cohort 28,51252,R030,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,ESL,2/8/2017,Effective,Effective,Effective,"Teacher is in pull-out ENL instruction model. She was working with two students. Lesson reviewed the use of action words, and vocabulary used in content classes. Students practiced orally and in writing.",Effective,Effective,Effective,Teacher shares classroom with two other teachers. Students were attentive and on-task.,Effective,Effective,Effective,Teacher reviewed and assessed student written work and observed student participation. Lesson focused on structure in which students showed difficulty before.,Effective+,"Teacher expressed that the classroom configuration makes instruction difficult, however students thrive and show progress.",Average,City,31R030,4351c913-2324-4e9d-813d-a434016538b4
14,2/21/2017 9:04,Complete,2062,Cohort 28,51238,Q460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,N/A,ESL,2/13/2017,Effective+,Effective+,Effective+,Teacher designed a lesson plan to provide ENL language support in a social studies class (co-teaching). This was a double period class.,Effective,Effective,Effective,This was a large group that needed to be constantly reminded to be quiet and pay attention. Students worked on assignments and participated voluntarily.,Effective,Effective,Effective,Lesson included viewing a video clip on bullying that started class discussion on the issue. The lesson ended with an exit slip.,Effective,This was the first time teacher worked with this group. He indicated that he needs to design strategies to eliminate distraction and interruptions.,Average,City,25Q460,7c19d9a4-a29f-427b-bc80-a52800e6a5fd
20,3/1/2017 8:13,Complete,1782,Cohort 28,51271,K559,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,English,3/1/2017,Developing+,Developing+,Effective,Sam starts lessons engaging the students prior knowledge and understanding. He will worko,Developing+,Developing+,Developing+,Sam will work on identifying transitions in the class period to provide structure and clarity. Especially morning entry.,Effective,Effective,Developing+,Sam engages students in learning and has an open dimeanor with them. He will work on planning backwards fromide,Highly Effective,Sam is open and resilient in teaching and seeks feedback,Average,City,21K559,7958a324-2a83-4a89-8a6c-a52900e9a6c9
54,3/7/2017 13:29,Complete,2063,Cohort 28,51278,07X547,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,Self-contained,NA,NA,NA,Science,3/1/2017,Developing,Ineffective,Developing,NA,Effective,Developing+,Effective,NA,Developing,Developing,Ineffective,NA,Developing,NA,Average,City,07X547,f9ffba5a-657f-429c-ac2f-a4f000ace0df
55,3/7/2017 13:34,Complete,2063,Cohort 28,51261,09X244,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,3/1/2017,Developing,Developing,Developing,NA,Developing,Developing,Developing,NA,Developing,Ineffective,Developing,NA,Developing,NA,Average,City,09X241,5e78616c-bfca-45a6-8b23-a60400e0c752
56,3/7/2017 13:40,Complete,2063,Cohort 28,51257,07X522,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,ESL,3/2/2017,Developing,Developing,Developing,NA,Developing+,Effective,Effective,NA,Developing,Developing,Developing,NA,Developing+,NA,Average,City,07X522,1967e252-b36e-420a-b650-a5e2013be47b
71,3/7/2017 20:41,Complete,2061,Cohort 28,51236,x089,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Special Education,2/13/2017,Developing+,Developing+,Developing+,NA,Effective,Ineffective,Developing,NA,Developing+,Developing+,Developing,NA,Effective,NA,Average,City,11X089,1c1ec790-5fed-465e-be15-a44a0146453c
72,3/7/2017 20:45,Complete,2061,Cohort 28,51242,x440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,N/A,ESL,2/10/2017,Developing+,Developing+,Developing+,NA,Developing+,Developing,Developing,NA,Developing+,Developing+,Developing,NA,Effective,NA,Average,City,10X440,8f2475d3-bca4-4ca5-97cd-a20c00f80406
73,3/7/2017 20:50,Complete,2061,Cohort 28,51243,q019,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESL,2/15/2017,Developing+,Developing+,Developing+,NA,Effective,Effective,Developing+,NA,Effective,Effective,Developing,NA,Effective,NA,Average,City,24Q019,4da76833-c52b-4305-b27f-a60f0112c445
74,3/7/2017 21:02,Complete,2061,Cohort 28,51260,x556,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESL,2/17/2017,Developing+,Developing+,Developing,NA,Effective,Developing,Developing,NA,Developing,Effective,Effective,NA,Effective,NA,Average,City,11X556,9333da77-4326-4230-bd01-a5a600e33d01
77,3/8/2017 13:55,Complete,1782,Cohort 28,51245,K598,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,ESL,3/8/2017,Developing+,Developing+,Developing+,Nathalie uses visuals and connects to the students countries in lessons. She willplan o,Developing+,Developing+,Developing+,Nathalie works with very few students and will work on classroom expectations for individual students in small group space.,Developing,Effective,Developing+,Nathalie uses games and visuals to creatively engage students in learning. She will work on question scaffolding.,Highly Effective,Nathalie actively seeks support and feedback in instruction.,Average,City,18K598,4417cf09-ef42-492e-bcd5-a5e7013d3a32
78,3/8/2017 14:01,Complete,1782,Cohort 28,51275,K234,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/8/2017,Developing+,Developing+,Developing+,Julian has a great relationship with his co teacher. He provides individualized support and small group instruction in accessible ways.,Developing+,Developing+,Developing+,Julian rotates the room while the lead teacher is teaching to support in the redirection of student behavior.,Developing+,Developing+,Developing+,Julian will work on making tasks such as political cartoon analysis accessible for students through current examples.,Highly Effective,Julian seeks support and feedback,Average,City,22K234,a50aa555-b2c8-49c9-a257-a45100b58858
89,3/9/2017 12:52,Complete,1782,Cohort 28,51231,K382,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,N/A,ESL,3/9/2017,Developing+,Developing+,Developing+,Natalia makes the content community relevant but will develop ways to scaffold foundational questions up to main objective.,Developing,Developing,Developing+,Natalia will use engagement strategies to support behavioral management.,Developing+,Developing+,Developing+,Natalia will support student engagement through structured opportunities to discuss class content and increase relevancy of learning to age group.,Highly Effective,Natalia seeks feedback and reflection.,Average,City,17K382,f91537bf-4228-48ea-a119-a454010e8d5b
90,3/10/2017 10:13,Complete,1835,Cohort 28,51234,X132,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESL,3/9/2017,Developing+,Developing+,Developing+,"We discussed differentiation strategies for vocabulary learning, and reading and writing modalities.",Developing+,Developing+,Effective,NA,Developing,Developing,Developing,NA,Developing,NA,Average,City,09X132,4faaa314-d611-43a1-b9dd-a5a900d7a57e
108,3/13/2017 19:58,Complete,1788,Cohort 28,51254,K681,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Special Education,3/8/2017,Developing+,Developing,Developing,"Teacher represents some knowledge of content and pedagogy but does not connect that to the practical application of ENL to its speakers.  Outcomes reflect academic rigor and high expectations with little or no coordination or integration.  Lesson is coherent and sequential but lacks the practical application.  The ""why"" of students' learning rules to form the plural is missing.",Developing+,Developing+,Developing,The classroom culture shows a high form of commitment for teacher and students.  The teacher clearly believes in his students.There is no loss of time as teacher has all materials ready and procedures in place.  Teacher is respectful of students and monitors student behavior.  He needs to refine consistency,Developing,Developing,Developing,"Questioning is based on a single path of inquiry based on a single path of inquiry based on outcome/s. The teacher tries to involve all students in the discussion with uneven results as the outcome presented is metacognitive and too abstract.  It is based on a set of rules rather than the practicality of applying the rules.  The learning activities, though aligned to the outcome, allows for students to take a passive role in their learning.  The teacher had originally planned another lesson and then changed it believing that the students needed to know how to form plurals (in nouns) prior to his planned lesson.  Hence, he used observable behavior as a form of assessment to drive instruction.  The worksheets he used  is also a form of assessment.",Developing,Teacher can reflect on his lesson effectiveness in a general way using outcomes and if they were met as criteria.,Average,City,16K681,2e4ec7a9-3a84-442e-b701-a5ef00aab1c3
110,3/13/2017 20:37,Complete,1788,Cohort 28,51253,Q262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,Special Education,3/6/2017,Developing,Developing,Developing,"Teacher has general knowledge of content and pedagogy, re:ELLs and ENL.  He uses some scaffolds to promote L2 fluency. There are gaps between lesson plan and delivery of instruction. Outcomes written represent academic rigor both linguistically and cognitively and need to be coordinated within the frame of ENL.  Lesson is sequential with a recognizable structure. Activities did not adhere to time allocations.",Developing+,Developing+,Effective,"Teacher and students work hard to bring about a positive culture for learning.  There are high expectations set. Students understand their role in this process. Students follow procedures set forth and hence, little time is lost.  I did not see any misbehavior.  Students remained on task throughout the lesson.",Developing,Developing,Developing,Some questions posed were framed to promote student thinking.  However most questions led students down the lower end of Bloom's Taxonomy.  Students were led down a single path of inquiry allowing them to be passive in the learning process.Assessments written in the lesson plan reflect both summative and formative types. I did not witness any other forms of assessment to drive instruction.,Developing,Teacher can articulate a general understanding of lesson effectiveness.,Average,City,27Q262,88b1dfe6-7bd0-4fe1-afea-a6010128e600
111,3/13/2017 21:02,Complete,1788,Cohort 28,51270,Q262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,CTT/ICT,NA,NA,NA,NA,Special Education,3/6/2017,Developing,Developing,N/A,"Teacher has knowledge of content and provides scaffolds as needed. There is no evidence of using prior knowledge to build the background.  Outcomes represent high expectations and rigor with a need to incorporate integration of different types of learning.  Lesson flowed with clear beginning, middle and end.  More scaffolds and differentiation would support more students.",Developing+,Developing+,Effective,The classroom was active with student participation. There was evidence of high expectations for learning. There was little time lost and students generally understood their role as learners.  I did not witness any student misbehavior.,Developing,Developing+,Developing,"There were questions posed and a path of inquiry. Most of the questioning was on the first three levels of Bloom's Taxonomy.  There was evidence of student engagement. The pacing of the lesson by the content teacher was tt quick and the fellow teacher provided the scaffolds to promote higher critical thinking skills. There was some evidence of assessment and a rubric (thumbs up, thumbs down) to drive instruction.",Developing,Teacher is able to look at the lesson and evaluate its effectiveness in light of whether outcomes have been met. He can make general suggestions on lesson effectiveness.,Average,City,27Q262,96a75846-2570-4a41-b92b-a46c00e55ca7
135,3/14/2017 13:10,Complete,1929,Cohort 28,51248,5m148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,ESL,3/6/2017,Developing,Developing,Developing,Teacher's plans and practice indicate some awareness of prerequisite relationships.  Outcomes reflect moderately high expectations and rigor. The lesson or unit has a recognizable structure.,Developing,Developing,Developing,"With regular guidance and prompting, students follow established routines.  Standards of behaviot appear to have been established.",Developing,Developing,Developing,Teacher attempts to engage all students in the discussion and to encourage them to respond to one another. The learning tasks or prompts are partially aligned with the instructional outcomes. Assessment is used sporadically to support instruction.,Developing,Teacher has a generally accurate impression of a lesson's effectiveness and the extent to which instructional outcomes were met.,Average,City,05M148,d011318b-68f4-468f-be51-a24101028cdb
142,3/14/2017 13:53,Complete,1822,Cohort 28,51240,27Q475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,ESL,3/7/2017,Developing+,Developing+,Developing+,Teacher's plans and practice indicate some awareness of prerequisite relationships. Outcomes represent moderately high expectations and rigor. Some of the learning activities and materials are suitable to the instructional outcomes.,Developing+,Developing+,Developing+,"With regular guidance and prompting, students follow established routines. Standards of conduct appear to have been established.",Developing+,Developing+,Developing+,Teacher attempts to engage all students in the discussion and to encourage them to respond to one another. The learning tasks are partially aligned with the instructional outcomes. Assessment is used sporadically to support assessment.,Developing+,Teacher has a generally accurate impression of a lesson's effectiveness.,Average,City,27Q475,45eb2fe5-1f53-430b-bbd8-a5fc00eb73f1
143,3/14/2017 13:28,Complete,1833,Cohort 28,51292,M362,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,Special Education,2/27/2017,Effective,Effective,Effective,NA,Effective,Developing+,Effective,NA,Developing+,Effective,Developing+,NA,Effective+,NA,Average,City,05M362,aad0d7a4-aacc-4cf4-b81b-a59e009b53da
144,3/14/2017 13:32,Complete,1833,Cohort 28,51251,M514,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,Self-contained,NA,NA,NA,ESL,3/3/2017,Developing+,Developing+,Developing+,NA,Effective,Effective,Developing+,NA,Developing+,Developing+,Developing+,NA,Effective,NA,Average,City,05M514,51699733-c580-47bd-9462-a5ea00d7a765
150,3/14/2017 21:20,Complete,1822,Cohort 28,51247,32K552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,ESL,3/3/2017,Developing,Developing,Developing,Teacher's plans and practice reflect a limited range of pedagogical approaches to the discipline or to the students. Outcomes represent moderately high expectations and rigor.,Developing,Developing,Developing,"With regular guidance and prompting, students follow established routines. Standards of conduct appear to have been established.",Developing,Developing,Developing,"Assessment is used sporadically to support instruction, through some monitoring of progress of learning by teacher and/or students. Teacher attempts to engage all students in discussion and to encourage them to respond to one another.",Developing,Teacher has a generally accurate impression of a lesson's effectiveness and the extent to which instructional outcomes were met.,Average,City,32K552,b2e68bac-f960-44fa-a7d1-a5c40172e0d8
154,3/14/2017 22:20,Complete,1822,Cohort 28,51237,27Q475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,ESL,3/6/2017,Developing,Developing,Developing,Teacher's plans and practice indicate some awareness of prerequisite relationships. Outcomes represent moderately high expectations and rigor. The lesson or unit has a recognizable structure.,Developing,Developing,Developing,"With regular guidance and prompting, students follow established routines. Standards of conduct appear to have been established.",Developing,Developing,Developing,Teacher attempts to engage all students in the discussion and to encourage them to respond to one another.The learning tasks or prompts are partially aligned with the instructional outcomes. Questions are sometimes used to diagnose evidence of learning.,Developing,Teacher has a generally accurate impression of a lesson's effectiveness and the extent to which instructional outcomes were met.,Average,City,27Q475,1b568102-d9a1-4d3c-9af6-a50400db23f6
157,3/15/2017 14:19,Complete,1824,Cohort 28,51268,Q072,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,CTT/ICT,NA,NA,NA,NA,Special Education,2/16/2017,Developing+,Developing,Developing,NA,Developing,Developing,Developing,NA,Developing,Developing,Developing,NA,Effective,NA,Average,City,28Q072,d31c97e2-972b-4f29-b0f5-a59e012d7af2
158,3/15/2017 15:16,Complete,2063,Cohort 28,51284,08x332,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,Science,3/7/2017,Developing,Developing,Developing,NA,Developing+,Developing+,Developing+,NA,Developing+,Developing,Developing,NA,Developing,NA,Average,City,08X332,22fafd11-1164-484b-8208-a25300bfcc84
165,3/15/2017 21:41,Complete,219,Cohort 28,51255,X127,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ESL,3/15/2017,Developing+,Effective,Developing+,"•	The Learning Objective should be written in student friendly language using 'I Can' statements. 'I can' statements empower students, provide a common focus, communicate what is important, build community and engagement and increase motivation and confidence.- Brian Shepard •	In addition, the Learning Objectives should be posted. •	The lesson was standards based.  •	Teacher spoke and gave written material in both Spanish and English, as necessary.  •	Differentiated supports should be written in the lesson plan and addressed in the lesson. •	There was little loss of instructional time due to effective classroom routines and procedures •	Utilized pictures and other supports for students to understand the task.  •	Tasks were timed and the teacher kept the students moving at a good pace. •	Tasks were aligned with the 'Learning Objectives'",Developing+,Effective,Effective,"•	 There was some loss of instructional time due to effective classroom routines and procedures. •	Student behavior was appropriate.",Developing+,Effective,Developing,"•	Student behavior was appropriate. •	Teacher circulated questioning and assisting the students as they worked. •	Most questions were level 1 on the DOK Scale. •	Encourage students to respond to each other by asking students who 'agrees',' disagrees' or 'has something to add' having the students explain their thinking. •	The learning tasks and activities are aligned with the instructional outcomes and were designed to challenge student thinking, •	Teacher tried to elicit the definition of words that were important for the students to understand the text; success, failure and getting fired. •	Tasks were aligned with the Learning Objectives. •	Feedback should be balanced using 'glows' and 'grows'.  Avoid using phrases, such as, excellent and good job. •	A final summary question, related to the Learning Objective should be asked. Students, in pairs, could discuss the answer followed by a share.",Developing,NA,Average,City,11X127,7b6afd9c-2e3a-4116-b799-a4a4013aa29c
