uni,FC_ID,Cohort,C27id,oct_ob_location,oct_Grade,oct_Setting,oct_Subject,oct_obs_date,oct_dom1a,oct_dom1c,oct_dom1e,oct_dom1_comments,oct_dom2b,oct_dom2c,oct_dom2d,oct_dom2_comments,oct_dom3b,oct_dom3c,oct_dom3d,oct_dom3_comments,oct_dom4a,oct_dom4_comments,oct_rel_effect,dom1_avg,dom2_avg,dom3_avg,dom4_avg,FDIoct_overall,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1835,Cohort 27,50121,X254,7,CTT/ICT,Special Education,7-Oct-16,,,,"Ms. Natacha Martinez Rivera, a Special Education teacher, is supposed to co-teach an ELA 7th grade class together with an ELA teacher. However, she was not given the ELA lesson plan until right before the class start. She had not been involved in this lesson planning; therefore, there was no stated evidence on how she was to support the Special Ed students in the observed class. Also, the class was led by the ELA teacher whereas Ms. Martinez Rivera had minimal involvement and was monitoring and assisting individual students in the class. Therefore, this writer had no evidence for 1a, 1c and 1e of this rubric in order to rate this NYC Teaching Fellow.",Developing,Developing+,Effective,,,Developing,Developing,,Developing+,Teacher expressed her concern of not being given an opportunity to be involved in planning the lessons as well as co-teach it. She sees herself having a role of a teacher aid where during the class she only monitors the work of individual students or read-aloud. She made general and specific suggestions how she would support the Special Ed students in this class if she were involved in lesson planning or given the lesson plan a day before the class. The teacher had been advised to advocate for herself regarding this situation but with no results. This writer will talk to School Principal about this fellow's teaching situation so that she is able to fully support the fellow.,Bottom 10%,,3,2,3,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1807,Cohort 27,50125,Q238,7,N/A,Math,22-Sep-16,Effective,Effective+,Effective+,"Ms. Armand displayed a solid knowledge of the Math 7 curriculum by including the Common Core Learning Standards in her lesson plan.    The lesson objective stated that students will be able to identify proportional and non-proportional relationships using data tables. This objective represents rigorous and important learning within the math curriculum.    The instructional activity included a chart with time in minutes in one row, and miles per hour in the other. The students’ task was to determine whether or not the relationship was proportional, and then reduce the answer to its lowest form. A similar chart was offered for the number of copies from a copy machine and the charges for 25, 50, 100, and 500 copies. Students again had to determine whether or not the relationships were proportional. They also had to state which relationship included the lowest charge per copy. These activities represented a significant cognitive challenge to students. The time allotted for the activity was appropriate for all the students.  ",Effective+,Effective+,Effective,"Ms. Armand’s class exhibits characteristics of a cognitively busy environment where students and teacher both value learning. It is evident that Ms. Armand holds high expectations for her students, and most of them understand their role and expend efforts to learn.    Effective classroom routines and procedures maximized instructional time. Ms. Armand managed instructional groups effectively.    Student behavior was generally appropriate, however, this group of 7th grades exhibited a propensity to be chatty. Ms. Armand utilized planned ignoring and proximity of control, which reduced most of these off-task behaviors. A few students were chronic chatters, which led to a number of disruptions, eventually culminating in Ms. Armand threatening students that they would stay after school to complete their classwork.",Effective+,Effective+,Effective+,"Ms. Armand utilized directed and critical thinking questions to drive instruction and student understanding. She posed questions such as, “What is a proportional relationship?” and “Why are they proportional?” Her questions were largely single line of inquiry, however, she did attempt to get most of the students to respond to questions during the lesson.    All of the students were cognitively engaged throughout the lesson. The pace of the lesson, as well as questioning wait time, afforded students the ability to digest the information and formulate a verbal or written response. Ms. Armand grazed the classroom frequently to assist students during group work.    Assessment was incorporated throughout the lesson. Posed questions yielded responses from a number of students. Ms. Armand would not accept the first response, but successfully was able to tease answers from a number of students before settling on the correct answer. During independent practice, Ms. Armand actively circulated the class to check the pulse of understanding of each group.  ",Highly Effective,"Ms. Armand participated in our post observation conference following the lesson. She was praised for her solid presence and overall effective lesson delivery. She exhibited a command and a comfort level with the material, which supported student efforts in grasping and internalizing the lesson objective. Although the board space in this classroom is very small, Ms. Armand’s board work was very neat, understandable and sequential. Ms. Armand explained that her principal was in the process of getting her a computer projector. This would help Ms. Armand to display questions and notes on the screen, freeing up board space for guided practice and problem review.     Ms. Armand’s teaching was methodical. She task analyzed the work, allowing students to visualize the step-by-step process of analyzing and solving problems.    We discussed differentiation and student supports in general. She explained that she did not receive any information as of yet as to who her special education students actually are, although she does have her suspects.  I advised her to check her student’s programs to see if any of them receive SETTS, and then contact their special education teacher to get information about her students.     We had a discussion pertaining to positive behavioral supports in the classroom. Class rules were developed collectively, however, many of her students have difficulty consistently following them. It was noted that a significant component of behavioral supports includes praise and effective feedback from the teacher. She agreed that she has an issue in this area. She also added that her summer coaches also commented on her lack of praise. In addition to praising students for following rules and showing their best effort, we also discussed the use of employing effective feedback consistently. Evaluative comments from the teacher related to positive behavior and effective work efforts afford students a gauge to measure their own efforts and build their self- confidence. Ms. Armand possesses many of the traits and skills of an effective teacher. Including positive comments and feedback in her teaching will assist her tremendously.   ",Above Average,4.666667,4.666667,5,6,4.833333,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,2039,Cohort 27,50126,x532,8,CTT/ICT,Special Education,11-Oct-16,Effective,Developing,Developing,There was no differentiation within the lesson.,Developing+,Developing+,Effective,"Student behavior was appropriate, but there was a lack of excitement for learning.",Developing,Developing,Developing,The work that was given to the students was not differentiated and some students could not complete the work independently.  There was not enough time in the lesson for students to complete the independent work.  Most students  had difficulty with the independent work because it required a skill that had not yet been taught.,Developing,The teacher was able to identify strengths and weaknesses but was not able to independently come up with different courses of action.,Average,2.666667,3.333333,2,2,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,949,Cohort 27,50127,97X176,10,D75,Special Education – D75,6-Oct-16,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,,Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1807,Cohort 27,50129,Q238,7,Self-contained,Special Education,22-Sep-16,Effective,Effective+,Developing+,"Ms. Caramanica displayed a solid understanding of the 7th grade ELA curriculum by including the Common Core Learning Standards in her lesson plan. She also included assessment criteria for all the students in her 7th grade self contained ELA class.    The instructional objective stated that students would be able to determine which documents relating to the 2016 presidential election contains credible evidence. This objective is aligned with the Common Core Learning Standards which requires textual evidence to support one’s claim, and represents important learning within the ELA curriculum.    The lesson activity was for students to work in groups to complete a graphic organizer where they had to list each source and then determine its credibility. This task was aligned with the learning objective and represents a moderate cognitive challenge to students.  ",Effective+,Effective+,Effective+,"Ms. Caramanica’s students were responsive and respectful towards one another, as well as their teacher and paraprofessional. Students worked consistently hard and their interactions supported their learning.    Ms. Caramanica’s management of instructional groups fostered a successful lesson. Minimal guidance was required for students to follow expected classroom procedures.    Student behavior was entirely appropriate, as students took an active role in self-monitoring their behavior.",Effective+,Effective+,Effective+,"Ms. Caramanica offered students clarifying and opinion based questions to assist them in determining the credibility of the sources of information they read pertaining to the 2016 presidential election. Students worked either individually or in small groups. Ms. Caramanica’s questions generated student discussions. Students were allotted ample time to complete the activity.    Students were cognitively engaged throughout the lesson. The assignment was relatively challenging, while the pace of the lesson provided time for students to be intellectually engaged and supported their learning.    Students were assessed by their ability to explain and apply definitions related to the sources of information. Additionally, students were evaluated on their ability to complete the graphic organizer with credible sources and utilize their class notes to assist them in determining which sources were credible.  ",Effective+,"Ms. Caramanica and I met for a post observation conference. She was praised for the positive behavior of her students and their work ethic throughout the lesson. Student work reflected the knowledge they gained from prior learning episodes.    Ms. Caramanica and I discussed the format of a developmental lesson. Ms. Caramanica stated that her administration does not require a specific format. Ms. Caramanica’s lesson plan was sparse at best, and did not include differentiation of instruction or a lesson summary. Ms. Caramanica explained that this lesson was based on students’ ability to apply what they learned from the last couple of days, so she did not incorporate guided practice in her lesson plan.    Finally, we talked about the level of rigor in her class. We discussed increasing the rigor to challenge her students’ academic level to slightly above frustration level. She agreed, however, she explained that two of her students are emotionally disabled and they usually blow up or have meltdowns when the work is too difficult.   We talked about individualizing the expectation level, as well as the instructional materials to meet the academic and behavioral needs of all of her students. Differentiation is needed to address student differences and abilities.  ",Average,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1711,Cohort 27,50130,X363,7,CTT/ICT,Special Education,13-Oct-16,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing+,,Average,2,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,2036,Cohort 27,50133,05M286,6,Self-contained,Special Education,28-Sep-16,Developing,Developing,Developing,More scaffolds and differentiation need to be implemented to meet the needs of all learners in the classroom. ,Developing+,Developing+,Effective,"Overall, student behavior demonstrated the classroom was under-control. The teacher spent a lot of time doing individual checkins which took away from direct instruction, or facilitating small group instruction.",Developing+,Developing+,,"An end of class assessment  (exit ticket) was planned for class, but because of issues with time allocations, it was not able to be successfully given. ",Effective,The teacher has shown thoughtfulness in seeking resources  to improve his classroom instruction. ,Average,2,3.333333,3,4,3.2,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1830,Cohort 27,50136,X478,11,CTT/ICT,Special Education,7-Oct-16,Developing,Developing,Developing,,Developing+,Developing+,Developing+,,Developing,Developing+,Developing,,Effective,,Average,2,3,2.333333,4,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1206,Cohort 27,50138,17K745,9,,Math,29-Sep-16,Developing+,Developing+,Developing+, The teacher displays  an adequate knowledge of the important concepts in the discipline and how to these relate to one another,Developing+,Developing+,Developing+,The classroom culture is a cognitively busy place where learning is valued by all with high expectations for learning the norm for most students,Developing+,Developing+,Developing+,The teacher uses both low and high level questions to promote thinking in an appropriate manner,Developing+,The teacher has a generally accurate impression of the lesson’s effectiveness,Average,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1901,Cohort 27,50139,k405,9,CTT/ICT,Special Education,13-Oct-16,Developing,Developing,Developing,"Planning: Reading/Comprehension Skill - Predicting  Asked students to predict based on picture accompanying text  Students made predictions  Fellow said,""Ok good, let's see if that's true  Failed to follow up at end of lesson - therefore failed to practice predicting as reading strategy skill -discussed: created great opportunity for Formative/Assessment For Learning - failed to capitalize. Put this into planning to ensure it happens.  ",Developing,Developing,Developing,teacher voice/presence good    quiet business atmosphere balance c/lively discussion    calls on/includes all    co teacher very sarcastic c/kids - we talked about the fact that teenagers love sarcastic humor and this can be a good tool to build rapport but don't take it too far or you risk creating atmosphere of mutual disrespect between teacher and students as fellas amount students,Developing,Developing,Developing,"Good - expanding discussion/understanding    eg.""When you say culture can you give an example?"" students, clothing,food, traditions etc..    talk about America's cultural  diversity as strength  eg. ""Imagine everyone eating/wearing/doing the same thing everyday - Boring.""    eg student answers, ""Everything."" Fellow, Ruht, ""What's everything?""    Assessment For Learning:  ""These are all things we have done before except, we have not applied them to poetry before.""  great scaffolding",Developing,Very open/receptive to constructive commentary  Very self aware/reflective,Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1835,Cohort 27,50140,X246,1,,Bilingual,17-Oct-16,Developing,Developing,Ineffective,We discussed how to design a coherent instruction so that all students are intellectually engaged and participating; and set instructional outcomes. We also discussed some reading strategies for entering/emerging ENL students.,Developing,Effective,Effective,,Developing,Ineffective,Developing,Teacher is to grade her language and plan questions and sub-questions in order to elicit answers from all the students. She is to implement Think-Pair-Share.,Ineffective,,Below Average,1.666667,3.333333,1.666667,1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
City College,2063,Cohort 27,50141,08X405,9,N/A,ESL,23-Sep-16,Ineffective,Ineffective,Ineffective,,Developing,Ineffective,Developing,,Ineffective,Ineffective,Ineffective,,Developing,,Below Average,1,1.666667,1,2,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1951,Cohort 27,50143,15K684,11,CTT/ICT,Special Education,22-Sep-16,Developing,Effective,Effective,Learning activities engage students and allow them to be successful.,Effective,Effective,Effective,Standards of conduct are established and implemented successfully.,Developing,Effective,Effective,Students monitor their own understanding as a result of tasks set by the teacher.,Effective,The teacher made an accurate assessment of his lesson. He was interested in incorporating various special education strategies into his lessons to help those students achieve their goals.,Average,3.333333,4,3.333333,4,3.666667,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1834,Cohort 27,50144,12X057 ,3,,Bilingual,21-Oct-16,Ineffective,Developing,Developing,,Developing,Developing,Developing,,Developing,Developing,Developing,,Developing,,Bottom 10%,1.666667,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1705,Cohort 27,50145,Q167,11,Self-contained,Special Education,13-Oct-16,Developing,Developing,Developing,,Developing+,Developing+,Developing+,,Developing,Developing+,Developing,,Developing,,Average,2,3,2.333333,2,2.666667,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1146,Cohort 27,50146,x508,9,CTT/ICT,Special Education,5-Oct-16,,,,Fellow is an ICT in Science (Chemistry); Math (Geometry & Math Supplement); Visual Arts.  Her concentration for certification is ELA-Special Ed.  Therefore much of this evaluation is not applicable as yet.  ,,Effective,Effective,Fellow was active in assisting her students and their needs.  Four students are classified as autistic in this class.  She demonstrated sensitivity to their needs.,,Effective,Effective,,,,Average,,4,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1831,Cohort 27,50147,X267,8,CTT/ICT,Special Education,17-Oct-16,Developing,Developing+,Developing+,,Developing+,Effective,Effective,,Developing+,Developing+,Developing,,Developing+,,Average,2.666667,3.666667,2.666667,3,3.166667,,,,,,,,,,,,,,,,,,,,,,,,,
City College,2063,Cohort 27,50148,08X530,10,,ESL,6-Oct-16,Ineffective,Ineffective,Ineffective,,Ineffective,Ineffective,Developing,,Developing,Ineffective,Ineffective,,Ineffective,,Below Average,1,1.333333,1.333333,1,1.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1808,Cohort 27,50149,K529,10,Self-contained,Special Education,28-Sep-16,Effective,Developing+,Developing+,"This was a U.S. History lesson on Reconstruction and the rise of industrialization ( 1865-1890). Although the Teaching Fellow was knowledgeable in the discipline, his learning activities were not always aligned to the instructional outcome. Most of the learning activities were reading assignments with questions to follow. What could have been an interesting lesson was not. It bored me, and it bored the rest of his students. The class ended with an uncompleted assignment. The pacing of this lesson was off.",Developing+,Developing+,Developing+,"This was a very soft spoken Teaching Fellow who allowed students to have headphones on, hats on, and text messaging throughout the lesson. Rules were not established, but if they were, they were not enforced. When Truant students arrived, he did a poor job of getting them settled or remediated. I told the Teaching Fellow that he must bring in REAL WORLD situations/PRIOR Knowledge in his planning and teaching.",Developing+,Developing+,Developing+,"Once again, the Teaching Fellow and I discussed what needs to be done in these History lessons. It will be difficult to engage a class when kids have posited that this History material has on impact on their lives. That said, the Fellow needs to plan with "" Teachable Moments"" in mind. He has to get this class motivated to learn, but I think that he understands what I have suggested.",Developing+,"This Teaching Fellow wants his students to learn, and he wants to be a great teacher. He understands that the process begins NOW.",Below Average,3.333333,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,913,Cohort 27,50150,Q480,9,CTT/ICT,Math,27-Sep-16,Developing+,Developing,Developing,Teacher is developing in planning with coteacher.  Activities planned are becoming more challenging for students.,Developing,Developing,Developing,Class time is not used effectively. response is not up to speed.,Developing,Developing,Developing,Students are not engaged.   The pace of the lesson is too slow.  Students need to understand importance of lesson.,Developing,Teacher has an accurate impression of lesson's effectiveness.    general suggestions about lesson and how it could be improved were made. ,Average,2.333333,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter TESOL,2057,Cohort 27,50151,k506,1,N/A,Bilingual,14-Oct-16,Effective,Effective,Effective,,Effective,Effective,Effective+,,Developing+,Effective,Developing+,,Effective+,,Above Average,4,4.333333,3.333333,5,3.833333,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1839,Cohort 27,50152,K162,8,CTT/ICT,Special Education,15-Sep-16,Developing+,Developing,Developing+,"Coherent instruction observed with differentiation for special education students. Working as ICT, the teacher works with individuals, smal groups and is provided opportunities to lead the class in order to grow professionally and has developed a good working relationship with the host teacher. They plan collaboratively",Developing+,Developing+,Developing+,Effective routines and procedures are in place with high expectations for appropriate behavior. Youngsters are busy and reminded respectfully when talking or not paying attention with minimal prompting.,Developing+,Developing+,Developing+,"A variety of assessment strategies were provided for in the joint planning of the lesson that included circulating to check work, listening to students working in small groups and asking cue questions. A Do Now activity assessed  comprehension and an exit ticket was distributed for completion and collection.",Developing+,During post observation conference teacher made an accurate self assessment and offered several suggestions to try durnig subsequent lessons.,Average,2.666667,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,467,Cohort 27,50153,04M964,7,CTT/ICT,Special Education,26-Sep-16,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing+,,Average,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,1962,Cohort 27,50154,Q450,9,CTT/ICT,Special Education,27-Sep-16,Developing+,Developing+,Developing,"Matthew is knowledgable about the content (global history), but the lesson was primarily lecture based. Students also needed more scaffolding to access the required reading.",Effective,Effective,Effective+,Matthew and his co-teacher have created a calm and effective learning environment for the students.,Developing+,Developing+,Developing,"Matthew verbally assessed students, but not all students were engaged in the discussion.",Highly Effective,Matthew is extremely reflective and takes feedback willingly. He is eager to learn and find new ways to support his students.,Above Average,2.666667,4.333333,2.666667,6,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter SPED,2041,Cohort 27,50155,X299,9,Self-contained,Special Education,22-Sep-16,Developing,Developing,Developing,"I observed Jean in a self contained science class. I wasn't provided with a lesson plan nor was a class agenda, learning objective or do now displayed. Jean is familiar with the subject content and utilizes the textbooks for support.        I encouraged Jean to:    1. Plan his lessons in advance and design them around specific units.  2. Have a visual class agenda with timed blocks for each component.   3. Establish classroom rules and procedures. Have class procedures and rules visible.   4. Utilize the paraprofessional in the room to support and assist you.  5. Design projects and group activities to not only support learning but to minimize behavioral issues. ",Developing,Developing,Developing,"Jean conveyed the expectations for for positive classroom behavior but nothing was formally established.     There was an issue with seating, doing group work, and following instructions all while the paraprofessional was on the phone.    I encouraged Jean to:    1. Establish classroom procedures, rules, incentives and a seating chart.  2. Meet with the paraprofessional 1 to 1 and discuss classroom expectations of the educators within the classroom.",Developing,Developing,Developing,Following the guided lesson Jean provided individual activity work sheets for students which were supposed to be done in groups. Many students chose to work individually. No higher order thinking questions were asked to engage students or promote higher order thinking feedback.    However students did share out their answers with the class.    I encouraged Jean to:    Design instructions implementing higher order thinking questions to promote student engagement.  ,Developing,I encouraged Jean to:    1. Plan his lessons in advance and design them around specific units.  2. Have a visual class agenda with timed blocks for each component.   3. Establish classroom rules and procedures. Have class procedures and rules visible.   4. Utilize the paraprofessional in the room to support and assist you.  5. Design projects and group activities to not only support learning but to minimize behavioral   6. Use textbooks as a support to design your lessons and not to use daily within class.,Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1929,Cohort 27,50157,6M322,8,CTT/ICT,Special Education,13-Oct-16,Developing,Developing,Developing,"Teacher’s plans and practice reflect a limited range of pedagogical approaches to the discipline or to the students.     Some reflect important learning in the discipline, and consist of a combination of outcomes and activities.   The lesson or unit has a recognizable structure; the progression of activities is uneven, with most time allocations reasonable.",Developing,Developing,Developing,"With regular guidance and prompting, students follow established routines.  Standards of conduct appear to have been established.",Developing,Developing,Developing,"Teacher attempts to engage all students in the discussion and to encourage them to respond to one another, with uneven results.  The pacing of the lesson may not provide students the time needed to be intellectually engaged.  Feedback to students is general.",Developing,Teacher makes general suggestions about how a lesson could be improved.,Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1850,Cohort 27,50158,27q475,9,CTT/ICT,English,7-Oct-16,Developing+,Developing+,Developing+,,Developing+,Effective,Effective,,Developing+,Developing+,Developing+,,Effective,,Average,3,3.666667,3,4,3.333333,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,2000,Cohort 27,50159,X531,2,N/A,ESL,7-Oct-16,Developing+,Developing+,Developing+,,Developing+,Effective,Effective,,Developing+,Developing+,Developing,,Developing+,,Above Average,3,3.666667,2.666667,3,3.166667,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,935,Cohort 27,50160,K19@K007,4,CTT/ICT,Special Education,7-Oct-16,Developing,Ineffective,Developing,The lead teacher plans for the entire class.  Candidate must plan with the lead teacher for the Special Education population in the class.,Developing,Developing,Developing,The lead's teacher's planning and focus centers on the General Education students in the class  All students respect and have a positive rapport with Candidate  The lead teacher and the Candidate implements different behavior management procedures,Developing,Developing,Developing,Candidate frames thought provoking questions with uneven results  Lessons are structured by the lead teacher.  Candidate follows-up on goals and objectives without differentiation aligned with IEP goals  Students will be assessed using Sandi.  The Candidate has been given staff development for this assessment,Developing+,The Candidate is aware of her responsibility to the Special Education population in the class.  The mentor and coach will facilitate the planning and implementation of the curriculum by helping to develop instruction based on learning goals and assessment results.,Average,1.666667,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,
City College,2061,Cohort 27,50162,x351,11,CTT/ICT,Special Education,17-Oct-16,Developing,Developing+,Developing,,Developing+,Developing,Developing,,Developing,Developing,Developing,,Developing,,Average,2.333333,2.333333,2,2,2.166667,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,250,Cohort 27,50163,M529,10,,Math,6-Oct-16,Developing,Developing,Developing,More supports and differentiation needs to be provided for students who were not engaged.,Developing,Developing,Developing,Ilana will work on implementing a classroom management system.,Developing,Developing,Developing,Students need to be engaged in the lessons.,Developing,Ilana will follow up with guidance counselor and parents of students who are sleeping or have their heads down.  She will think of ways to provide more interactive lessons.,Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Lehman College,1998,Cohort 27,50164,Q125,7,N/A,English,28-Sep-16,Effective,Developing+,Effective,,Effective,Effective,Effective+,,Developing+,Developing+,Developing+,,Developing+,,Above Average,3.666667,4.333333,3,3,3.666667,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,907,Cohort 27,50165,K140,8,D75,Special Education,25-Oct-16,Developing+,Developing+,Developing+,,Developing+,Developing+,Effective,,Developing+,Developing+,Developing,,Developing+,,Above Average,3,3.333333,2.666667,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,1842,Cohort 27,50167,13k605,10,CTT/ICT,English,23-Sep-16,Developing+,Developing+,Developing+,,Effective,Developing+,Developing+,We spoke about expectations and next steps:     • Post rules that are visible to all students and that are stated in a positive manner.   • Include students in creating the rules and revising them or choosing solutions when they are not working.   • Share standards of conduct with students’ families.   • Explain and model expectations of classroom behavior for students.,Developing+,Developing+,Developing+,,Effective,,Average,3,3.333333,3,4,3.166667,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,238,Cohort 27,50171,97m138,11,SETTS,Special Education,27-Sep-16,Developing,Developing,Developing,  Teacher had an awareness  how concerts of writing  are related to each other   * Outcomes reflect some high expectations and rigor  * the lesson was part of a unit and activities were aligned to outcomes  ,Developing,Developing,Developing,* Classroom interactions between the teacher  and the student were positive  *Teacher has excellent time management an kept her students continually in task  * Teacher does carefully monitor  if  her students are on task   with them on pre algebraic math sentences which involve the use of money which is an essential life skill.,Developing,Developing,Developing,"* * Questions were asked regarding students feeling about the\  * St udents. were engaged according to their IEPs and meeting course requirements  *  T, izs awarr that assessments are based on whether the  stuudent is standaized  non standardized tested  ",Developing,"The teacher is reflecting on the challenges of herbposition a SETSS provides for 7 students four of whom are evaluated using  standardized testing . The other will be evaluated  with alternate methods . Based on her assignment , she uses push in and pull models to supplement students learning She is also in charger of students’ IEP and conducting meeting with the parents; in addition, she works with other staff members on transitioning student after they graduate ",Below Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1785,Cohort 27,50172,M324,7,Self-contained,Special Education,13-Oct-16,Developing+,Developing+,Developing+,"Allison is a natural born teacher of students with intellectual disabilities.  Her instruction is coherent and comprehensive,  eliciting examples and review from the active participation of her students,  and providing them with clear homework reinforcing capabilities.  I was quite impressed that the students in this class were writing with careful sentence structure and correct spelling as well.  ",Effective,Effective,Effective,Allison has quite a handle on student behavioral expectations.  She has set up a positive learning atmosphere in which students are rewarded according to participation and production of good work.  Every period she names a 'Mystery Student' who receives the merit of the day.  Allison's students work hard to try to achieve this award and show extreme pleasure at the simple mention of the name of the 'Mystery Student'.,Developing+,Developing+,Developing+,"Allison is constantly assessing her student comprehension of written material.  Her questions are direct; the coordinating written material contains open ended questions. Allison makes her assessments according to the material presented,  but she also employs internet suggestions from a site called ""Teachers Pay Teachers"" for her homework assignments,  which were ELA skill reviews today.",Developing+,"It is clear the Allison is constantly reflecting on her lessons,  on how to improve the quality of her lessons as well a review important skills for her students.  I look forward to seeing her next lesson and the materials she employs to impart knowledge.",Top 10%,3,4,3,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,935,Cohort 27,50174,97@721,9,Self-contained,Spanish,22-Sep-16,Developing,Developing,Developing,New curriculum development and implementation with differentiated instruction will support all students and IEP goals and outcomes,Developing,Developing,Developing,"Autistic (9, 10, 11), students' behaviors are diverse, students are learning their role in the classroom.  Candidate allows students to express themselves  Transitional and behavior modifications have proved engaging and positive",Developing,Developing,Developing,Greater critical thinking questioning will engage students at their learning levels within their learning modalities  Sandi testing will begin next month   Professional Development occurs at present  IEP goals and objectives are used for instructional planning,Developing,The candidate reflected on his instructional expertise with precision,Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's University,250,Cohort 27,50175,M529,9,SETTS,Special Education,6-Oct-16,Developing,Developing,Developing,Measureable objectives need to be provided for each lesson.,Developing,Developing,Developing,Classroom routines need to support IEP goals.,Developing,Developing,Developing,Lessons need to be targeted directed at student's IEP's and consultation with classroom teachers.,Developing,,Below Average,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,2067,Cohort 27,50176,X012,9,Self-contained,Special Education – D75,13-Oct-16,Developing+,Developing+,Developing+,both the setting and lesson were excellent and well thought out to differentiate based on the needs of the students ,Developing+,Developing+,Developing,"Students expectations were clear and only minimal suggestions for improving problem behavior was needed, also after a conversation with the paraprofessional who worked in the class before, behaviors are noticeably improved from years prior",Developing+,Developing+,Developing+,"informal assessments used throughout the lesson and differentiation used for each student, all students were actively engaged in the lesson and the independent work tasks that followed ",Developing+,Excellent reflection and awareness ,Top 10%,3,2.666667,3,3,2.833333,,,,,,,,,,,,,,,,,,,,,,,,,
Pace University,2067,Cohort 27,50177,X012,9,Self-contained,Special Education – D75,12-Oct-16,Developing,Developing,Developing,"The was well planned, however I discussed with Ms. Hobogood the differentiation for some students at higher levels and the use of more independent tasks ",Developing+,Developing,Developing,the classroom setting was excellent and management needs were discussed to develop specific strategies for some students,Developing,Developing,Developing,"Ms. Hobogood used informal verbal and non-verbal assessments during the math lesson, however at times student engagement was down due to circulation to assist students, strategies were discussed ",Developing,,Average,2,2.333333,2,2,2.166667,,,,,,,,,,,,,,,,,,,,,,,,,
Long Island University,1904,Cohort 27,50179,14K488,9,CTT/ICT,Special Education,6-Oct-16,Developing+,Developing+,Developing+,,Developing+,Developing+,Developing+,,Developing,Developing+,Effective,,Developing,,Average,3,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,
City College,1942,Cohort 27,50180,x080,6,,ESL,14-Oct-16,Developing,Developing,Ineffective,,Developing+,Ineffective,Developing,,Ineffective,Developing,Ineffective,,Developing,,Below Average,1.666667,2,1.333333,2,1.666667,,,,,,,,,,,,,,,,,,,,,,,,,
