Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,Please select your Field Consultant ID. ,Which cohort is this Fellow a member of?,Please select the Cohort 27 Fellow ID that corresponds to the Fellow you observed.,Please enter the school DBN as a letter and 3-digit number (e.g. X232 or K021),K:Please enter the grade level(s) of the observed lesson. Select all that apply. ,1:Please enter the grade level(s) of the observed lesson. Select all that apply. ,2:Please enter the grade level(s) of the observed lesson. Select all that apply. ,3:Please enter the grade level(s) of the observed lesson. Select all that apply. ,4:Please enter the grade level(s) of the observed lesson. Select all that apply. ,5:Please enter the grade level(s) of the observed lesson. Select all that apply. ,6:Please enter the grade level(s) of the observed lesson. Select all that apply. ,7:Please enter the grade level(s) of the observed lesson. Select all that apply. ,8:Please enter the grade level(s) of the observed lesson. Select all that apply. ,9:Please enter the grade level(s) of the observed lesson. Select all that apply. ,10:Please enter the grade level(s) of the observed lesson. Select all that apply. ,11:Please enter the grade level(s) of the observed lesson. Select all that apply. ,12:Please enter the grade level(s) of the observed lesson. Select all that apply. ,"CTT/ICT:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","Self-contained:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","SETTS:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","D75:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","N/A:If applicable, please identify the Special Education setting of the observed lesson. Select all applicable settings.","What is the Fellow’s assigned university subject area? (Please select the subject they are training in at their university, NOT the subject they are teaching during this observation.)",What was the date of this observation?,1a: :Please record your observation rating for component 1a: Demonstrating Knowledge of Content and Pedagogy.,1c::Please record your observation rating for component 1c: Setting Instructional Outcomes.,1e::Please record your observation rating for component 1e: Designing Coherent Instruction.,Comments for Domain 1,2b: :Please record your observation rating for component 2b: Establishing a Culture for Learning.,2c::Please record your observation rating for component 2c: Managing Classroom Procedures.,2d::Please record your observation rating for component 2d: Managing Student Behavior.,Comments for Domain 2,3b::Please record your observation rating for component 3b: Using Questioning and Discussion Techniques.,3c::Please record your observation rating for component 3c: Engaging Students in Learning.,3d::Please record your observation rating for component 3d: Using Assessment in Instruction.,Comments for Domain 3,4a::Please record your observation rating for component 4a: Reflecting on Teaching.,Comments for Domain 4,How effective do you believe this Fellow is compared to other teachers with similar experience (eg- first year Fellows compared to other first year teachers)?,URL Redirect
26,3/6/2017 16:11,3/6/2017 16:18,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1488834712_58bdd098f261f7.77389030,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,24.90.53.217,-73.99330139,40.76050186,United States,New York,NY,10036,1998,Cohort 27,50457,X529,,,,,,,,7,,,,,,CTT/ICT,,,,,English,3/6/2017,Effective,Developing+,Developing+,,Effective,Effective+,Effective+,,Developing+,Developing+,Developing+,,Developing+,,Above Average,
27,3/8/2017 17:39,3/8/2017 17:44,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489012753_58c0881120d022.12356247,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,24.90.53.217,-73.99330139,40.76050186,United States,New York,NY,10036,1998,Cohort 27,50354,X337,,,,,,,,7,,,,,,,,,,N/A,English,3/8/2017,Developing+,Developing+,Developing+,,Developing+,Developing,Developing,,Developing,Developing+,Developing+,,Developing,,Average,
28,3/10/2017 12:03,3/10/2017 12:06,Complete,,,,English,https://mail.lehman.edu/owa/redir.aspx?C=m6OqGDubMZ9taPXDdR9XnJ6BmoUbUMu05UOzbaG6JHyBMS1G12fUCA..&UR,https://mail.lehman.edu/owa/redir.aspx?C=m6OqGDubMZ9taPXDdR9XnJ6BmoUbUMu05UOzbaG6JHyBMS1G12fUCA..&URL=https%3a%2f%2furldefense.proofpoint.com%2fv2%2furl%3fu%3dhttps-3A__www.surveygizmo.com_s3_3337350_FDI-2D2016-2D17-2DLC-2DR3%26d%3dCwMFAg%26c%3dtzSjEhL4u5XIh9GXWARTsBI31pp--h2kWBIadC1LS_M%26r%3daD6-uKvR9nOSs7QhDiySZyBQXJfeAicrDPj5JdVFLqA%26m%3dCHOtd44IuKJzvSrN-a0LF5hvilu9tTFuhus1kJFdxgs%26s%3dvHRwT7DMTht9aioh0GnXmlREWpJZyXYjLCvHqMqTxJk%26e%3d,1489165377_58c2dc41e57885.71666950,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,98.14.240.95,-73.98049927,40.68090057,United States,Brooklyn,NY,11217,2013,Cohort 27,50010,x342,,,,,,,,,,,,11,,,,,,N/A,English,2/16/2017,Effective,Effective+,Effective,,Highly Effective,Effective+,Highly Effective,,Effective,Effective,Effective,,Highly Effective,,Above Average,
29,3/10/2017 12:06,3/10/2017 12:08,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489165576_58c2dd086b24e6.17563081,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,98.14.240.95,-73.98049927,40.68090057,United States,Brooklyn,NY,11217,2013,Cohort 27,50385,K008,,,,,,,6,,,,,,,,,,,N/A,English,3/9/2017,Effective,Effective+,Effective+,,Highly Effective,Effective,Effective,,Effective,Effective+,Effective,,Effective,,Above Average,
30,3/10/2017 12:09,3/10/2017 12:11,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489165736_58c2dda8ed4485.08187054,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,98.14.240.95,-73.98049927,40.68090057,United States,Brooklyn,NY,11217,2013,Cohort 27,50348,Q505,,,,,,,,,,,10,,,,,,,N/A,English,3/8/2017,Effective,Effective,Effective,,Effective+,Effective+,Developing+,,Developing+,Effective,Developing+,,Effective,,Average,
31,3/10/2017 12:11,3/10/2017 12:13,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489165890_58c2de42a49c62.41262361,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,98.14.240.95,-73.98049927,40.68090057,United States,Brooklyn,NY,11217,2013,Cohort 27,50988,X259,,,,,,,,,,,10,,,,,,,N/A,English,2/28/2017,Effective,Developing+,Developing+,,Effective+,Effective,Developing+,,Effective,Developing+,Effective,,Effective+,,Average,
32,3/10/2017 17:18,3/10/2017 17:23,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489184286_58c3261eee4977.22984183,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,74.88.245.46,-73.98999786,41.15570068,United States,New City,NY,10956,512,Cohort 27,50735,X405,,,,,,,,,,9,,,,,,,,N/A,Science,03/08/0016,Effective+,Effective,Effective,,Effective,Effective,Effective,,Developing+,Effective,Effective,,Effective+,,Average,
33,3/10/2017 17:24,3/10/2017 17:27,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489184640_58c327802f5ef4.63363716,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,74.88.245.46,-73.98999786,41.15570068,United States,New City,NY,10956,512,Cohort 27,50504,X525,,,,,,,,,,9,,,,,,,,N/A,Science,03/08/0017,Effective,Effective,Effective,,Developing+,Effective,Developing+,,Developing,Effective,Developing+,,Effective+,,Average,
34,3/10/2017 17:27,3/10/2017 17:30,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489184856_58c32858c576a5.04232807,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,,74.88.245.46,-73.98999786,41.15570068,United States,New City,NY,10956,512,Cohort 27,51086,X370,,,,,,,,,8,,,,,,,,,N/A,Science,03/02/0017,Effective+,Effective,Effective,,Developing+,Effective,Developing+,,Developing+,Effective,Effective,,Highly Effective,,Average,
35,3/11/2017 9:56,3/11/2017 9:59,Complete,,,,English,https://mail.lehman.edu/owa/redir.aspx?C=mIZXWdPREXal-PWd7Na0F4wK0VZI-iSj9fzm91j6Kke0g3jOjmjUCA..&UR,https://mail.lehman.edu/owa/redir.aspx?C=mIZXWdPREXal-PWd7Na0F4wK0VZI-iSj9fzm91j6Kke0g3jOjmjUCA..&URL=https%3a%2f%2furldefense.proofpoint.com%2fv2%2furl%3fu%3dhttps-3A__www.surveygizmo.com_s3_3337350_FDI-2D2016-2D17-2DLC-2DR3%26d%3dCwMFAg%26c%3dtzSjEhL4u5XIh9GXWARTsBI31pp--h2kWBIadC1LS_M%26r%3daD6-uKvR9nOSs7QhDiySZyBQXJfeAicrDPj5JdVFLqA%26m%3dCHOtd44IuKJzvSrN-a0LF5hvilu9tTFuhus1kJFdxgs%26s%3dvHRwT7DMTht9aioh0GnXmlREWpJZyXYjLCvHqMqTxJk%26e%3d,1489244196_58c41024267cb3.47637892,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",,173.52.214.129,-73.83149719,41.18790054,United States,Ossining,NY,10562,1816,Cohort 27,50801,x549,,,,,,,,,,9,,,,CTT/ICT,,,,,Science,3/6/2017,Effective+,Effective+,Effective+,Ms. Ryan is well versed with regard to instructional planning.,Effective,Effective,Developing+,Ms. Ryan has made significant gains with regard to behavior management.,Developing+,Developing+,Effective+,,Highly Effective,,Above Average,
36,3/13/2017 15:02,3/13/2017 15:09,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489431734_58c6ecb67c3f30.50269506,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:51.0) Gecko/20100101 Firefox/51.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:51.0) Gecko/20100101 Firefox/51.0,,68.173.151.86,-73.99810028,40.72669983,United States,New York,NY,10012,2005,Cohort 27,50359,M610,,,,,,,6,,,,,,,CTT/ICT,,,,,Math,2/8/2017,Effective,Effective,Effective+,,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,,Average,
37,3/13/2017 15:09,3/13/2017 15:13,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489432170_58c6ee6a172100.04311108,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:51.0) Gecko/20100101 Firefox/51.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:51.0) Gecko/20100101 Firefox/51.0,,68.173.151.86,-73.99810028,40.72669983,United States,New York,NY,10012,2005,Cohort 27,50741,M372,,,,,,,,7,,,,,,,,,,N/A,Math,3/2/2017,Effective,Effective,Effective,,Effective,Developing+,Developing+,,Effective,Effective,Effective,,Effective,,Above Average,
38,3/13/2017 15:13,3/13/2017 15:16,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489432400_58c6ef5046e737.36135084,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:51.0) Gecko/20100101 Firefox/51.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:51.0) Gecko/20100101 Firefox/51.0,,68.173.151.86,-73.99810028,40.72669983,United States,New York,NY,10012,2005,Cohort 27,50048,K139,,1,,,,,,,,,,,,CTT/ICT,Self-contained,,,,ESL,3/10/2017,Effective,Effective,Effective,,Effective,Effective+,Effective+,,Effective+,Effective,Effective,,Effective,,Above Average,
39,3/13/2017 16:18,3/13/2017 16:23,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489436167_58c6fe07e45c58.10880059,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,24.90.53.217,-73.98130035,40.77690125,United States,New York,NY,10023,1998,Cohort 27,50386,X243,,,,,,,,7,,,,,,,,,,N/A,English,3/13/2017,Effective,Effective,Effective,,Developing+,Developing,Developing,,Developing,Developing+,Developing+,,Developing+,,Average,
40,3/13/2017 16:28,3/13/2017 16:34,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489436922_58c700fa6e2bf0.88909312,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,24.90.53.217,-73.98130035,40.77690125,United States,New York,NY,10023,1998,Cohort 27,50164,Q125,,,,,,,,7,,,,,,,,,,N/A,English,2/15/2017,Developing+,Developing,Developing+,,Effective,Effective,Effective,,Developing+,Developing+,Developing,,N/A,,Average,
42,3/14/2017 11:46,3/14/2017 12:01,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489506396_58c8105ca5bd16.49980319,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.26","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",,68.192.84.25,-73.56999969,41.12670135,United States,Stamford,CT,6903,2010,Cohort 27,51138,10X243,,,,,,,,,8,,,,,,,,,,Math,3/13/2017,Effective,Developing+,Developing+,The lesson lacked rigor and differentiation.,Highly Effective,Effective+,Highly Effective,,Developing+,Developing+,Effective+,,Developing+,,Above Average,
43,3/14/2017 12:01,3/14/2017 12:19,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489507273_58c813c974de07.45028569,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.26","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",,68.192.84.25,-73.56999969,41.12670135,United States,Stamford,CT,6903,2010,Cohort 27,50717,10X374,,,,,,,,,,,10,,,,,,,,Math,3/13/2017,Developing+,Developing,Developing+,,Developing+,Developing,Developing,,Developing,Developing,Developing,,Developing+,,Below Average,
44,3/14/2017 12:20,3/14/2017 12:35,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489508399_58c8182f2e94a0.98887633,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.26","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",,68.192.84.25,-73.56999969,41.12670135,United States,Stamford,CT,6903,2010,Cohort 27,50501,10X439,,,,,,,,,,,10,,,,,,,,Math,3/9/2017,Effective,Effective,Developing+,,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,,Above Average,
45,3/14/2017 12:35,3/14/2017 12:36,Partial,,,,English,https://outlook.live.com/,https://outlook.live.com/,1489509354_58c81beab45b34.51901976,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",,69.117.13.180,-73.86910248,41.28269958,United States,Cortlandt Manor,NY,10567,1999,Cohort 27,50215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3/14/2017 12:41,3/14/2017 12:45,Complete,,,,English,https://outlook.live.com/,https://outlook.live.com/,1489509703_58c81d47911b42.97530343,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",,69.117.13.180,-73.86910248,41.28269958,United States,Cortlandt Manor,NY,10567,1999,Cohort 27,50215,x242,,,,,,,,,,,,,12,CTT/ICT,,,,,English,3/3/2017,Effective,Developing+,Developing+,,Effective,Developing+,Effective+,,Effective,Effective,Effective,,Effective+,,Average,
47,3/14/2017 14:17,3/14/2017 14:22,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489515455_58c833bf179375.91330526,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,96.239.60.130,-73.92680359,40.69200134,United States,Brooklyn,NY,11221,2008,Cohort 27,50723,10X264,,,,,,,,,,9,10,11,,,,,,N/A,Science,3/13/2017,Effective,Effective,Effective,,Effective+,Effective+,Effective,,Developing+,Effective,Developing+,,Effective,,Average,
48,3/15/2017 10:30,3/15/2017 10:33,Complete,,,,English,https://outlook.live.com/,https://outlook.live.com/,1489588219_58c94ffb244a25.48922864,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",,69.117.13.180,-73.86910248,41.28269958,United States,Cortlandt Manor,NY,10567,1999,Cohort 27,50545,x468,,,,,,,,,8,,,,,,,,,N/A,English,2/14/2017,Effective,Effective,Effective,,Effective+,Effective,Effective+,,Effective,Effective,Effective,,Effective+,,Above Average,
49,3/15/2017 15:38,3/15/2017 15:41,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489606688_58c998201502e6.41301930,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,98.113.217.198,-73.99720001,40.75170135,United States,New York,NY,10001,2006,Cohort 27,50018,M529,,,,,,,,,,9,,,,CTT/ICT,,,,,Science,03/02/0017,Effective,Effective,Effective,,Effective+,Effective+,Effective+,,Effective,Effective+,Effective+,,Effective+,,Top 10%,
50,3/15/2017 15:41,3/15/2017 15:43,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489606892_58c998eca5af63.66382247,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,98.113.217.198,-73.99720001,40.75170135,United States,New York,NY,10001,2006,Cohort 27,50030,MS80,,,,,,,,7,,,,,,,,,,N/A,Science,3/15/2017,Developing+,Effective,Developing+,,Effective,Effective,Effective,,Developing+,Effective,Effective+,,Effective+,,Average,
51,3/15/2017 15:43,3/15/2017 15:46,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489607023_58c9996f92f9d2.80136683,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,98.113.217.198,-73.99720001,40.75170135,United States,New York,NY,10001,2006,Cohort 27,50541,X391,,,,,,,,,8,,,,,,,,,N/A,Science,2/7/2017,Effective,Developing,Developing+,,Developing,Developing,Developing,,Developing,Developing,Developing+,,Effective,,Below Average,
52,3/15/2017 15:46,3/15/2017 15:49,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489607201_58c99a2115a120.91375779,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,98.113.217.198,-73.99720001,40.75170135,United States,New York,NY,10001,2006,Cohort 27,51002,X440,,,,,,,,,,,,,12,CTT/ICT,,,,,Science,2/15/2017,Effective,Effective,Effective,,Effective,Developing+,Developing+,,Effective,Effective,Effective,,Effective,,Average,
53,3/15/2017 15:49,3/15/2017 15:52,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489607395_58c99ae3ac5ac6.20794194,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,98.113.217.198,-73.99720001,40.75170135,United States,New York,NY,10001,2006,Cohort 27,50438,M529,,,,,,,,,,,,,12,CTT/ICT,,,,,Science,3/2/2017,Effective,Effective,Effective,,Developing+,Developing+,Effective,,Developing+,Developing+,Developing+,,Effective,,Average,
54,3/15/2017 15:53,3/15/2017 15:54,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489607588_58c99ba4a56e31.93485120,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,98.113.217.198,-73.99720001,40.75170135,United States,New York,NY,10001,2006,Cohort 27,50255,M218,,,,,,,,,8,,,,,,,,,N/A,Science,2/2/2017,Effective,Effective,Effective,,Effective,Effective,Effective,,Effective,Effective,Effective+,,Effective,,Above Average,
55,3/15/2017 16:41,3/15/2017 16:45,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489610472_58c9a6e81e41b0.91971935,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/602.4.8 (KHTML, like Gecko) Version/10.0.3 Safari/602.4.8",,24.90.53.217,-73.98130035,40.77690125,United States,New York,NY,10023,1998,Cohort 27,51112,X562,,,,,,,,7,,,,,,CTT/ICT,,,,,English,3/15/2017,Developing+,Developing,Developing+,,Developing+,Developing+,Effective,,Developing,Developing+,Developing+,,Developing,,Average,
56,3/16/2017 19:09,3/16/2017 19:20,Complete,,,,English,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,https://www.surveygizmo.com/s3/3337350/FDI-2016-17-LC-R3,1489705768_58cb1b28af40f3.52356314,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.26","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36",,68.192.84.25,-73.56999969,41.12670135,United States,Stamford,CT,6903,2010,Cohort 27,50423,10X228,,,,,,,,7,,,,,,CTT/ICT,,,,,Math,3/16/2017,Developing+,Effective,Effective,,Effective,Effective,Effective+,,Effective,Effective+,Effective,,Effective+,,Above Average,
